,sLapDistance,xCarX,xCarY,aYaw,vCar
00:22.5,833.07,-63.81,-241.67,-171.35,148.72
00:22.6,835.14,-61.76,-241.38,-171.04,149.8
00:22.6,837.23,-59.7,-241.07,-170.7,150.81
00:22.7,839.33,-57.62,-240.74,-170.23,151.86
00:22.7,841.45,-55.53,-240.39,-169.73,152.94
00:22.8,843.58,-53.43,-240.03,-169.21,154
00:22.8,845.73,-51.32,-239.65,-168.73,155.04
00:22.9,847.89,-49.2,-239.24,-168.26,156.05
00:22.9,850.06,-47.07,-238.81,-167.8,157.05
00:23.0,852.25,-44.93,-238.37,-167.32,158.03
00:23.0,854.45,-42.77,-237.9,-166.79,159.03
00:23.1,856.66,-40.61,-237.41,-166.31,160.05
00:23.1,858.89,-38.44,-236.9,-165.87,160.99
00:23.1,861.14,-36.26,-236.37,-165.35,161.94
00:23.2,863.39,-34.08,-235.82,-164.83,162.91
00:23.2,865.66,-31.88,-235.25,-164.35,163.86
00:23.3,867.94,-29.68,-234.65,-163.85,164.78
00:23.3,870.24,-27.47,-234.03,-163.31,165.72
00:23.4,872.55,-25.25,-233.39,-162.8,166.65
00:23.5,874.87,-23.03,-232.73,-162.33,167.55
00:23.5,877.2,-20.8,-232.04,-161.83,168.45
00:23.6,879.54,-18.56,-231.33,-161.32,169.36
00:23.6,881.9,-16.32,-230.6,-160.84,170.24
00:23.6,884.27,-14.07,-229.84,-160.34,171.11
00:23.7,886.65,-11.82,-229.06,-159.81,171.98
00:23.8,889.05,-9.57,-228.26,-159.29,172.86
00:23.8,891.46,-7.31,-227.43,-158.79,173.71
00:23.8,893.87,-5.04,-226.58,-158.29,174.57
00:23.9,896.3,-2.77,-225.7,-157.81,175.41
00:23.9,898.74,-0.5,-224.8,-157.29,176.25
00:24.0,901.2,1.77,-223.88,-156.79,177.09
00:24.0,903.66,4.04,-222.93,-156.33,177.91
00:24.1,906.14,6.32,-221.96,-155.88,178.73
00:24.1,908.63,8.6,-220.96,-155.44,179.53
00:24.2,911.13,10.89,-219.95,-155,180.34
00:24.2,913.64,13.17,-218.91,-154.56,181.14
