,sLapDistance,xCarX,xCarY,vCar
00:27.8,1193.17,371,394.22,128.89
00:27.8,1194.94,371.76,392.63,125.94
00:27.9,1196.67,372.51,391.07,123.23
00:28.0,1198.36,373.25,389.55,120.6
00:28.0,1200.02,373.98,388.07,117.58
00:28.0,1201.63,374.7,386.63,114.44
00:28.1,1203.2,375.41,385.24,111.57
00:28.1,1204.73,376.1,383.88,108.7
00:28.2,1206.21,376.78,382.56,105.73
00:28.2,1207.66,377.45,381.28,102.79
00:28.3,1209.07,378.11,380.04,99.75
00:28.4,1210.44,378.76,378.84,96.99
00:28.4,1211.76,379.39,377.67,94.29
00:28.5,1213.06,380,376.54,91.69
00:28.5,1214.31,380.61,375.44,89.21
00:28.6,1215.53,381.2,374.37,86.78
00:28.6,1216.72,381.78,373.34,84.48
00:28.6,1217.88,382.35,372.33,82.31
00:28.7,1219.01,382.91,371.36,80.28
00:28.7,1220.11,383.47,370.42,78.37
00:28.8,1221.19,384.03,369.5,76.48
00:28.9,1222.24,384.59,368.62,74.52
00:28.9,1223.26,385.16,367.77,72.58
00:29.0,1224.26,385.73,366.96,70.76
00:29.0,1225.23,386.31,366.18,69.16
00:29.1,1226.18,386.9,365.44,67.71
00:29.1,1227.11,387.5,364.73,66.31
00:29.1,1228.03,388.11,364.06,64.98
00:29.2,1228.92,388.74,363.42,63.65
00:29.3,1229.8,389.37,362.82,62.28
00:29.3,1230.66,390.01,362.26,60.9
00:29.3,1231.5,390.65,361.73,59.52
00:29.4,1232.32,391.3,361.24,58.17
00:29.5,1233.12,391.96,360.78,56.87
00:29.5,1233.91,392.61,360.36,55.63
00:29.5,1234.68,393.27,359.98,54.45
00:29.6,1235.43,393.93,359.62,53.29
00:29.6,1236.17,394.59,359.3,52.14
00:29.7,1236.89,395.24,359.02,51.06
00:29.7,1237.6,395.9,358.77,50.06
00:29.8,1238.29,396.55,358.55,49.12
00:29.9,1238.98,397.2,358.37,48.29
00:29.9,1239.65,397.85,358.22,47.56
00:30.0,1240.32,398.49,358.1,46.9
00:30.0,1240.97,399.13,358.01,46.25
00:30.1,1241.62,399.77,357.96,45.59
00:30.1,1242.26,400.39,357.95,44.96
00:30.1,1242.89,401.01,357.96,44.35
00:30.2,1243.52,401.62,358.01,43.76
00:30.3,1244.14,402.22,358.09,43.19
00:30.3,1244.75,402.8,358.2,42.64
